"","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"China, Hong Kong SAR",-0.294,0.236,0.325,-0.041,0.009,0.264,0.929,0.942,0.275,0.813,0.903,0.902,0.67,0.742,0.926,1.045,0.452,0.974,0.435,0.408,0.592,0.901,0.98,1.455,1.055,1.629,1.479,2.089,2.35
"China, Macao SAR",-0.294,0.236,0.325,-0.041,0.009,0.264,0.929,0.942,0.275,0.813,0.903,0.902,0.67,0.742,0.926,1.045,0.452,0.974,0.435,0.408,0.592,0.901,0.98,1.455,1.055,1.629,1.479,2.089,2.35
"China, mainland",0.13,0.281,0.733,0.578,0.212,0.741,1.273,1.237,0.579,1.046,1.141,0.831,1.126,1.066,1.247,1.553,1.106,1.354,0.984,0.811,0.646,1.105,1.109,1.343,1.379,1.637,1.423,1.474,1.702
"China, Taiwan Province of",-0.119,0.326,0.303,0.126,-0.056,0.065,1.121,0.662,0.335,0.739,0.896,0.839,0.403,0.622,0.673,0.739,0.528,0.713,0.455,-0.02,0.261,0.565,0.678,0.703,0.99,1.324,1.074,1.269,1.891
"Cocos (Keeling) Islands",0.148,0.149,-0.05,0.37,0.595,0.282,1.196,1.151,0.288,0.116,0.665,0.48,0.347,0.622,0.315,0.538,0.509,0.517,0.884,0.605,0.788,0.862,0.846,1.087,1.361,0.757,0.853,0.974,1.47
"Colombia",0.532,0.157,0.162,0.431,0.057,0.431,0.848,-0.105,-0.144,0.344,0.567,0.621,0.519,0.605,0.471,0.567,0.249,0.723,0.885,0.31,0.494,0.652,0.624,1.093,0.941,0.625,0.972,1.228,1.391
"Comoros",-0.029,0.085,0.446,0.327,-0.135,0.154,0.619,0.068,0.071,0.22,0.675,0.352,0.276,0.371,0.177,0.509,0.369,0.74,0.982,0.618,0.581,0.526,0.621,0.837,0.812,1.062,0.816,1.408,1.141
"Costa Rica",0.333,0.207,0.191,0.271,-0.194,0.661,0.939,-0.37,-0.185,0.454,0.507,0.724,0.653,0.582,0.52,0.704,0.245,0.905,0.968,0.471,0.264,0.712,0.612,0.972,0.937,0.731,1.18,1.394,1.458
"Croatia",0.843,0.417,1.733,0.447,-0.011,0.323,1.166,0.713,1.63,1.612,1.276,1.292,0.684,0.31,0.74,2.006,1.481,1.524,0.889,1.283,1.872,1.294,2.076,1.973,1.883,1.601,2.363,2.214,2.111
"Cuba",0.601,0.627,0.997,1.047,0.205,0.794,1.022,0.718,0.538,0.521,0.848,0.912,0.653,0.609,0.742,0.769,0.496,0.842,0.53,0.394,0.455,0.701,0.887,1.142,1.203,1.339,1.157,1.601,1.631
"Cyprus",-0.924,-0.423,1.076,0.095,0.288,0.037,0.984,1.118,0.671,1.218,0.888,0.648,0.684,0.414,0.697,0.881,1.101,1.055,2.069,0.758,1.008,1.279,1.103,1.254,1.628,0.916,2.236,1.643,1.795
"Democratic People's Republic of Korea",0.798,0.601,1.397,0.739,0.318,1.033,1.839,1.44,0.655,0.909,0.913,1.008,1.656,0.947,0.786,1.695,1.602,1.148,0.456,0.596,0.495,0.375,1.55,1.246,1.467,1.654,0.909,1.915,2.022
"Democratic Republic of the Congo",-0.038,0.212,0.356,0.462,0.036,0.747,0.95,0.368,0.532,0.39,0.842,0.882,0.915,1.081,0.846,0.762,0.625,0.877,1.293,0.756,0.616,0.912,0.86,0.966,1.454,1.19,1.34,1.325,1.559
"Denmark",1.447,0.224,0.966,1.305,-0.747,0.655,0.865,1.335,1.716,1.04,1.647,0.711,1.04,1.29,1.356,2.143,1.866,1.333,-0.185,0.693,1.15,0.408,2.688,1.524,1.856,1.624,2.113,2.186,2.622
"Dominica",0.262,0.388,0.481,0.591,0.365,0.558,0.98,0.408,0.149,0.395,0.522,0.609,0.314,0.638,0.531,0.65,0.169,0.367,1.033,0.425,0.526,0.519,0.475,0.712,0.864,0.621,0.421,0.579,0.87
"Dominican Republic",0.153,0.28,0.7,0.786,0.553,0.819,1.216,0.743,0.498,0.795,0.871,1.054,0.641,0.829,0.839,1.022,0.482,0.622,1.144,0.469,0.713,0.973,0.984,1.192,1.11,0.851,0.97,1.115,1.333
"Ecuador",0.791,0.517,0.273,0.694,0.029,1.002,1.185,0.189,0.215,0.428,0.727,0.756,0.718,0.708,0.68,0.684,0.542,0.795,0.652,0.542,0.554,0.335,0.962,1.403,1.39,0.963,0.966,1.174,1.214
"Egypt",-0.576,0.025,0.62,0.156,0.391,0.022,0.748,0.851,0.082,0.722,0.838,0.73,0.643,0.517,0.745,0.623,0.953,0.954,2.348,0.653,0.952,1.069,1.263,1.219,1.38,0.626,2.053,1.058,1.091
"El Salvador",0.542,0.288,0.715,0.636,0.183,0.859,0.939,0.339,0.033,0.482,0.68,0.875,0.747,0.684,0.652,0.664,0.434,0.998,0.659,0.663,0.769,0.754,0.718,1.337,1.297,0.75,0.803,0.996,1.726
"Estonia",1.599,0.546,0.351,1.735,-0.368,0.92,0.526,1.509,2.049,1.824,1.472,0.229,1.179,1.587,1.239,2.245,2.587,1.595,0.521,1.276,1.449,1.155,2.407,2.355,1.89,1.475,2.386,2.178,3.596
"Eswatini",1.106,0.704,-0.038,0.546,-0.104,0.193,0.892,0.352,-0.235,0.383,0.344,0.376,0.233,0.849,0.05,0.764,0.351,0.161,0.967,0.839,0.341,0.273,0.387,0.781,0.867,0.383,0.842,1.341,0.273
"Faroe Islands",0.644,0.039,-0.073,-0.219,0.28,0.823,0.607,0.509,0.214,0.474,1.045,1.614,1.029,0.49,1.137,0.953,0.889,1.441,0.257,1.053,0.359,0.594,1.763,0.81,0.8,1.486,0.826,0.871,0.832
"Fiji",-0.037,-0.437,-0.257,0.285,0.425,0.169,0.755,0.535,0.618,0.656,0.639,0.539,0.43,0.591,0.59,0.877,0.469,0.239,0.782,0.766,0.458,0.848,0.696,0.616,1.086,1.273,1.058,0.969,1.178
"Finland",1.187,0.96,0.167,1.724,0.158,0.806,0.092,1.179,2.046,1.386,1.19,0.732,1.25,2.22,1.221,1.965,2.153,1.709,0.255,1.369,1.559,1.439,2.609,2.629,2.167,1.504,2.17,1.471,3.337
"France",0.632,0.301,1.523,1.299,0.163,1.213,0.913,1.167,1.143,1.362,1.023,1.771,0.945,0.998,1.28,1.376,0.959,1.174,0.353,1.492,1.178,0.671,1.999,1.558,1.738,1.743,2.006,1.956,2.478
"French Guyana",0.498,0.446,0.411,0.833,0.559,0.685,1.414,0.67,0.578,0.652,0.819,0.954,0.96,1.439,0.933,1.242,0.991,1.376,1.583,1.158,1.162,1.404,1.451,1.654,2.074,1.798,1.538,1.855,1.964
"French Polynesia",0.238,0.029,0.422,0.441,0.019,0.177,0.487,0.311,0.188,0.362,0.661,0.565,0.395,0.538,0.696,0.71,0.208,0.653,0.617,0.072,0.579,0.392,0.449,0.51,0.946,0.679,0.404,0.627,0.588
"French Southern Territories",0.315,0.77,0.027,0.163,0.19,0.984,0.694,0.452,0.663,0.595,0.638,0.357,0.584,0.168,0.322,0.143,0.391,0.314,0.481,0.463,0.904,0.36,-0.063,0.724,1.027,1.025,0.928,0.833,0.516
"Gabon",-0.168,0.138,0.205,0.599,0.13,0.318,1.111,0.566,0.293,0.257,0.647,0.868,0.764,0.719,0.682,0.853,0.738,0.744,0.959,0.529,0.511,0.81,0.791,0.893,1.417,1.392,0.896,1.554,1.433
"Gambia",1.06,1.262,0.944,1.055,1.281,1.516,1.764,0.957,1.126,1.411,1.531,1.202,1.228,1.632,1.367,1.249,1.506,0.873,1.48,1.228,1.095,1.202,1.465,1.516,1.917,2.033,1.317,1.63,2.05
"Georgia",-1.167,-1.227,0.453,0.746,0.196,0.284,1.259,1.241,0.973,1.288,1.038,-0.251,0.89,0.536,1.258,0.858,0.628,0.616,2.344,0.349,1.167,1.339,1.229,1.727,1.318,0.788,2.476,1.68,1.923
"Germany",1.228,0.312,1.625,1.308,-0.698,0.559,1.152,1.366,1.762,1.29,1.488,1.259,1.001,1.028,1.26,2.093,1.545,1.284,0.196,1.12,1.35,0.584,2.516,1.673,1.985,1.651,2.395,2.335,2.521
"Ghana",0.159,0.503,0.591,0.761,0.726,0.544,1.193,0.625,0.479,0.612,0.871,1.038,0.794,1.019,1.039,1.015,0.767,0.941,1.322,0.929,0.657,0.89,0.919,1.224,1.328,1.405,1.173,1.389,1.355
"Gibraltar",0.197,-0.093,0.77,1.344,0.771,1.469,1.117,0.73,0.843,1.299,0.883,1.424,1.056,0.873,1.457,0.844,0.978,1.27,1.341,1.679,0.992,0.913,1.507,1.442,1.799,2.089,0.799,1.351,1.992
"Greece",-0.5,-0.292,1.099,-0.001,-0.127,-0.169,0.654,0.824,0.697,1.334,0.465,0.409,0.349,0.222,0.272,1.084,0.88,0.765,1.567,0.389,1.23,1.329,1.073,0.911,1.576,0.657,1.948,1.503,1.447
